Collaborateur_ID;Sum_Duree
1;40
92;1856
120;11346
159;2761
224;2297
230;8617
258;3386
273;8139
277;9774
291;290
856;5040
865;5350
874;5940
876;8110
1004;5085
1011;240
1012;600
1015;723
1019;754
1027;7450
1030;835
1035;8097
1040;9093
1060;210
1066;9037
1068;7799
1069;3830
1071;4284
1072;7826
1073;8558
1074;4598
1076;8026
1141;2816
1144;260
1148;8184
1149;9438
1153;4874
1301;1800
1941;720
2331;6910
2491;260
2621;360
2831;840
3061;640
6851;3090
6971;2093
6981;3715
7211;9679
7231;2455
7301;780
7341;1590
7351;380
